annee,departement,periode,ue_code,ue_libelle,ue_description,ue_ects,groupe_libelle,groupe_ordre,matiere_libelle,matiere_ordre,coefficient,nbh_cours,nbh_cours_td,nbh_td,nbh_tp,nbh_projet,nbh_controle,nbh_autonomie,nbh_autre,contexte,socio_env,prerequis,objectifs,activites,evaluation,plan_de_cours,ressources
2025-2026,,Semestre 5,FIX_5_1,UE 1 legacy,"Pourquoi cette UE ? Pour poser les bases.
Sur deux lignes.",4,Groupe,1,Matiere 1 legacy,1,3,,15.00,,4.00,,1.00,,,"Les systèmes évoluent vite.
Deuxième paragraphe.",,Aucun,Gérer les dépendances.,Cours et TP,Examen 1h,"1. Introduction
2. Pratique",Supports en ligne
2025-2026,,Semestre 5,FIX_5_1,UE 1 legacy,"Pourquoi cette UE ? Pour poser les bases.
Sur deux lignes.",4,Groupe,1,Matiere 2 legacy,2,1,8.00,,,,,,,3.00,Contexte de la matière 2,,,Objectifs 2,,,,
2025-2026,,Semestre 5,FIX_5_2,Bases,,3,Groupe,1,Reseaux,1,1,,23.00,,,,4.00,3.00,,Contexte réseaux,,,,,,,
2025-2026,,Semestre 5,FIX_5_2,Bases,,3,Groupe,1,Inconnue,2,1,,2.00,,,,,,,Cette matière n'existe pas dans la structure,,,,,,,
2025-2026,,Semestre 5,FIX_5_3,Double,Description du double,2,Groupe,1,Peu importe,1,1,,1.00,,,,,,,,,,,,,,
2025-2026,,Semestre 5,FIX_5_4,Introuvable,Description introuvable,2,Groupe,1,Peu importe,1,1,,1.00,,,,,,,,,,,,,,
2025-2026,,Semestre 6,FIX_6_1,UE 6 legacy,Pourquoi l'UE 6,5,Groupe,1,Projet,1,2,,,,,20.00,,,,Contexte projet,,,,,,,
2025-2026,,Semestre 6,FIX_6_1,UE 6 legacy,Pourquoi l'UE 6,5,Groupe,1,Anglais,2,1,,,27.00,,,,,,Contexte anglais,,,,,,,
2025-2026,,Semestre 6,FIX_6_1,UE 6 legacy,Une autre description pour la même UE,5,Groupe,1,Anglais ,3,1,,,27.00,,,,,,Contexte anglais bis,,,,,,,
2025-2026,,Semestre 6,FIX_6_1,UE 6 legacy,Pourquoi l'UE 6,5,Groupe,1,Allemand,4,1,,,20.00,,,,,,Contexte allemand,,,,,,,
2025-2026,,Semestre 7,FIX_7_1,Hors périmètre,Description S7,3,Groupe,1,Matière S7,1,1,,10.00,,,,,,,Contexte S7,,,,,,,
2025-2026,,Semestre 5,AUTRE_5_1,Autre formation,Description autre,3,Groupe,1,Matière autre,1,1,,10.00,,,,,,,Contexte autre,,,,,,,
2025-2026,,Semestre 5,FIX_5_1,UE 1 legacy,"Pourquoi cette UE ? Pour poser les bases.
Sur deux lignes.",4,Groupe,1,Matiere 3 via exception,3,1,,5.00,,,,,,,Contexte via exception,,,,,,,
2025-2026,,Semestre 5,FIX_5_2,Bases,,3,Groupe,1,Trop,3,1,1000.00,,,,,,,,Contexte hors plage,,,,,,,
2025-2026,,Semestre 5,FIX_5_5,Libellé qui ne matche pas,Pourquoi l'UE 5,2,Groupe,1,Exc,1,1,,6.00,,,,,,,Contexte exc,,,,,,,
2025-2026,,Semestre 6,FIX_6_2,UE 62 legacy,Pourquoi l'UE 62,2,Groupe,1,M62,1,1,,4.00,,,,,,,Contexte 62,,,,,,,
2025-2026,,Semestre 5,MAUVAIS_5_1,Correspondance fausse,Description,3,Groupe,1,Matière,1,1,,10.00,,,,,,,Contexte,,,,,,,
